Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Cube,-6.3,4.4,-3.5,0,0,0,1,1,1
Cube,-1.86,5.59,-1,0,0,0,1,1,1
Cube,3.14,5.59,-1,0,0,0,1,1,1
Cube,0.64,5.59,-3,0,0,0,1,1,1
Cube,-1,-2.5,-7,0,0,0,1,1,1
Cube,-2,-2.5,-6,0,0,0,1,1,1
Cube,9.1,0,-1,0,0,0,3,1,1
Cube,-5.64,3.61,-1,0,0,0,1,5,1
Player,-11,5,-1,0,0,0,1,1,1
Cube,-3,-2.5,-5,0,0,0,1,1,1
MoveCube,-5.5,3.4,-2,0,0,0,4,1,1
Cube,-11,4,-1,0,0,0,1,1,1
Cube,6.5,2.5,-1,0,0,0,1,1,1
Key,6.5,3.5,-1,0,0,0,1,1,1
Goal,9,1,-1,0,0,0,1,1,1
end,,,,,,,,,
