Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
MoveCube,-4.54,3.88,-3,0,0,0,1,1,3
Cube,1.9,-0.56,-3,0,0,0,2.7254,1,1
MoveCube,-1.86,5.59,-1,0,0,0,1,1,1
MoveCube,3.14,5.59,-1,0,0,0,1,1,1
Cube,-1.86,5.59,-1,0,0,0,1,1,1
Cube,3.14,5.59,-1,0,0,0,1,1,1
Cube,0.64,5.59,-1,0,0,0,1,1,1
Cube,-1,-2.5,-7,0,0,0,1,1,1
Cube,-2,-2.5,-6,0,0,0,1,1,1
Cube,9.1,0,-1,0,0,0,1,1,1
Cube,-4.36,5.59,-1,0,0,0,1,1,1
Cube,-5.64,3.61,-1,0,0,0,1.5,5,1
Player,-10,5,-1,0,0,0,1,1,1
Cube,-3,-2.5,-5,0,0,0,1,1,1
MoveCube,-4.58,3.88,-1,0,0,0,4,1,1
Cube,-10,4,-1,0,0,0,1,1,1
Cube,6.5,2.5,-1,0,0,0,1,1,1
Cube,-5,-3.5,-1,0,0,0,3,1,1
Key,6.5,3.5,-1,0,0,0,1,1,1
Goal,9,1,-1,0,0,0,1,1,1
end,,,,,,,,,
