Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Cube,-2.500000,-3.110000,-5.000000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
Cube,-2.500000,-2.610000,-4.000000 ,0.000000,0.000000,0.000000 ,1.000000,2.000000,1.000000 
Cube,-2.500000,-2.110000,-3.000000 ,0.000000,0.000000,0.000000 ,1.000000,3.000000,1.000000 
Cube,-6.840000,-2.840000,-5.000000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
Cube,-2.500000,-1.610000,-2.000000 ,0.000000,0.000000,0.000000 ,1.000000,4.000000,1.000000 
Cube,4.000000,-3.500000,-4.000000 ,0.000000,90.000000,0.000000 ,1.000000,1.000000,1.000000 
Cube,5.000000,-3.500000,-3.000000 ,0.000000,90.000000,0.000000 ,1.000000,1.000000,1.000000 
Cube,-7.840000,-2.840000,-4.000000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
Cube,8.130000,-0.140000,-1.000000 ,0.000000,0.000000,0.000000 ,3.000000,1.000000,1.000000 
Cube,6.000000,-3.500000,-2.000000 ,0.000000,90.000000,0.000000 ,1.000000,1.000000,1.000000 
Cube,-2.500000,-1.110000,-1.000000 ,0.000000,0.000000,0.000000 ,1.000000,5.000000,1.000000 
Cube,-8.840000,-2.840000,-3.000000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
Cube,-10.340000,-2.840000,-2.000000 ,0.000000,0.000000,0.000000 ,4.000000,1.000000,1.000000 
Cube,5.000000,-3.500000,-1.000000 ,0.000000,0.000000,0.000000 ,3.000000,1.000000,1.000000 
Cube,-14.310000,2.160000,-1.000000 ,0.000000,0.000000,0.000000 ,3.000000,1.000000,1.000000 
Goal,8.530000,0.970000,-1.000000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
Key,-2.530000,2.890000,-1.000000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
Player,-14.880000,3.570000,-1.000000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
end
