Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
VMoveCube,0.000000,2.260000,-13.000000 ,0.000000,0.000000,0.000000 ,2.000000,1.000000,0.400000 
VMoveCube,0.000000,1.930000,-13.000000 ,0.000000,0.000000,0.000000 ,1.500000,1.000000,0.400000 
Cube,1.000000,-4.150000,-11.540000 ,0.000000,0.000000,0.000000 ,0.500000,-1.000000,0.500000 
Cube,-1.000000,-4.150000,-11.540000 ,0.000000,0.000000,0.000000 ,0.500000,-1.000000,0.500000 
VMoveCube,4.000000,2.790001,-12.000000 ,0.000000,0.000000,0.000000 ,3.000000,0.600000,1.000000 
VMoveCube,7.000000,7.800000,-7.500000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
VMoveCube,8.000000,7.800000,-7.500000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
VMoveCube,9.000000,7.800000,-7.500000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
VMoveCube,7.000000,6.800000,-7.500000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
VMoveCube,6.000000,6.800000,-7.500000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
VMoveCube,8.000000,6.800000,-7.500000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
VMoveCube,9.000000,8.800000,-7.500000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
VMoveCube,10.000000,8.800000,-7.500000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
VMoveCube,8.000000,8.800000,-7.500000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
VMoveCube,-10.000000,8.800000,-7.500000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
VMoveCube,-8.000000,8.800000,-7.500000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
VMoveCube,-9.000000,8.800000,-7.500000 ,0.000000,0.000000,0.000000 ,1.000000,1.000000,1.000000 
