Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Key,-5.43,1.88,-15.06,0,0,0,1,1,1
Player,-17.82,14.87,-8.5,0,0,0,1,1,1
Goal,14.7,8.38,-8.5,0,0,0,1,1,1
Cube,-16.6,13.22,-8.5,0,0,0,4.104514,1.302495,0.3
Cube,-8.56,9.95,-15.25,0,0,0,4.104514,1.302495,0.3
Cube,1.48,4.02,-8.5,0,0,0,4.104514,1.302495,0.3
Cube,13.24,6.418,-8.5,0,0,0,4.104514,1.302495,0.3
Cube,11.18,7.65,-8.5,0,0,0,4.104514,1.302495,0.3
Cube,-10.94,15.54,-4.79,0,0,0,4.104514,1.302495,0.3
Cube,-9.49,10.44,-3.53,0,0,0,4.104514,1.302495,0.3
Cube,-5.43,-1.52,-15.06,0,0,0,1.441835,4.399329,0.3
Cube,3.71,7.46,-12,0,0,0,4.104514,1.302495,0.3
Cube,-0.4,12.47,-11.94,0,0,0,4.104514,1.302495,0.3
end,,,,,,,,,
