Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Key,5.33,0,-9.5,0,0,0,1,1,1
Goal,3,10.16,-12,0,0,0,1,1,1
Cube,-3.789999,9.688,-4.82,0,0,0,5.310514,1.302495,0.3
Cube,3.870001,-1.562,-9.5,0,0,0,4.104514,1.302495,0.3
Player,-15.56,12.77,-6.31,0,0,0,1,1,0.01
Cube,3.090001,7.46,-12,0,0,0,1.394807,3.589999,0.3
Cube,-11.089999,10.44,-2.95,0,0,0,0.643819,13.61122,0.3
Cube,-15.69,1.788,-13.5,0,0,0,1.24675,4.90853,0.3
Cube,-15.69,10.188,-6.31,0,0,0,1.751036,1.732576,0.3
Cube,-2.260001,0.188,-9.5,0,0,0,1.315334,4.577686,0.3
Cube,-6.489999,-2.812,-16.82,0,0,0,1.441835,4.399329,0.3
Cube,-6.639999,4.788,-3.61,0,0,0,4.104514,1.302495,0.3
end,,,,,,,,,
end,,,,,,,,,
