Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Cube,0.04,2.89,-14.94,0,0,0,3.030295,0.757574,0.757574
Cube,5.52,2.93,-20.76,0,0,0,2.702418,0.426511,0.858146
Cube,0.04,3.647573,-14.94,0,0,0,0.25,1.143513,1
Cube,-8.77,-1.29,-14.07,0,0,0,4.86346,0.787574,0.787574
Cube,-4.170473,2.019272,-16.36,0,0,0,1,1,1
Cube,-5.56,2.7,-16.36,0,0,0,2.105344,0.701782,0.701782
Cube,-1.81,-0.44,-17.94,0,0,0,0.894478,2.519645,0.348171
Cube,-3.64,5.34,-13.3,0,0,0,2.998011,0.78757,0.78757
Cube,3.01,-2.29,-14.93,0,0,0,3.559115,0.762645,0.897639
Cube,1.71,0.59,-20.36,0,0,0,1.789845,0.762033,0.762033
Cube,0.4,6.46,-14.53,0,0,0,1.584415,0.792207,0.792207
Cube,4.3,0.08,-16.84,0,0,0,0.692415,2.104953,0.692415
end,,,,,,,,,
