Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Cube,-1.87,4.43,-13,0,0,0,5,0.882553,1
Cube,1.81,3.56,-16.2,0,0,0,3.605062,0.897721,0.160317
Cube,0.01,6.75,-16.63,0,0,0,6.89582,0.854843,0.350408
Cube,4.99,8.1,-8.57,0,0,0,0.913392,3.718483,1
Cube,4.86,2.52,-8.96,0,0,0,1.133187,4.448345,1
Player,-2.91,1,-13,0,0,0,1,1,1
Cube,0,6.61,-9,0,0,0,1,7.648768,1
Goal,2.59,8.29,-13,0,0,0,1,1,1
Cube,0,0,-7,0,0,0,11.71282,1,1
Cube,2.63,9.65,-10.97,0,0,0,2.786474,1.125026,1
Cube,0,2.29,-14.58,0,0,0,0.749617,4.182944,1
Cube,-5,5,-8,0,0,0,1,10,1
end,,,,,,,,,
