Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Goal,4.19,5.18,-8.5,0,0,0,1,1,1
Player,-13.56,14.57,-8.5,0,0,0,1,1,1
Cube,-5.429999,2.84,-12.85,0,0,0,3.638097,1.223768,0.328446
Cube,3.300001,3.38,-8.5,0,0,0,4.253452,1,0.190911
Cube,-4.469999,8.76,-8.5,0,0,0,3.266866,1.434365,0.29584
Cube,-13.24,12.15,-8.5,0,0,0,3.111452,1.315901,0.29584
Cube,7.580001,11.15,-8.5,0,0,0,9.166101,4.357271,0.256238
Cube,-11.47,5.73,-14.77,0,0,90,3.699097,1,0.27776
Cube,-3.589999,7.288,-8.5,0,0,0,1.5,1.5,0.29584
end,,,,,,,,,
