Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Cube,-4.96,-0.19,-17.07,0,0,0,0.707665,3.142915,0.678177
Cube,-10.95,2.39,-9,0,0,0,7.057094,1,0.374879
Cube,-9.139999,-2.13,-13,0,0,0,5,1,0.3
Cube,-10.03,4,-15,0,0,0,0.471019,3.896373,0.606851
Cube,-10.86,0.04,-13.84,0,0,0,0.5,3,0.3
Cube,2.1,1.95,-12,0,0,0,3.756055,0.990291,0.444192
Cube,0.42,5.64,-14,0,0,0,2.697009,0.772007,0.370915
Cube,-7.04,-3.07,-7,0,0,0,4.959802,1,0.574476
Cube,-5.95,5.34,-14,0,0,0,1,3.371092,0.38506
Cube,0.07,-0.9,-16.58,0,0,0,1,2.470033,0.353
Cube,-4.21,4.1,-14,0,0,0,2.390597,1,0.272361
Key,-2,-1.05,-13,0,0,0,1,1,1
Cube,-2,-2.05,-13,0,0,0,2.718298,1.35457,0.216246
Cube,2.94,-0.32,-10,0,0,0,4,1.752502,0.248097
Cube,-1.62,2,-11,0,0,0,4.180974,1,0.308743
Cube,5,-3,-12,0,0,0,6,1,0.259305
Cube,8.7,-0.8,-9,0,0,0,1,4,0.274195
Cube,-3.09,3.77,-8,0,0,0,2.214012,1.672482,0.237696
Cube,-4,0,-7,0,0,0,1.011168,3.468402,0.206845
Player,-13.77,3.8,-9,0,0,0,1,1,1
Goal,6.5,-1.51,-12,0,0,0,1,1,1
end,,,,,,,,,
